name,age,gender,admission_test_score,high_school_percentage,city,admission_status
Lubna,22,Male,74.0,90.56,Rawalpindi,Accepted
Junaid,23,Female,94.0,61.93,Peshawar,Accepted
Muneera,23,Male,77.0,57.93,Karachi,Rejected
Bushra,18,Female,93.0,99.8,Islamabad,Rejected
Hania,20,Female,83.0,71.78,Islamabad,Accepted
Hania,18,Female,79.0,61.83,Quetta,Accepted
Feroze,17,Male,91.0,71.17,Karachi,Rejected
Hassan,24,Female,79.0,75.67,Karachi,Accepted
Zunaira,19,Female,75.0,63.03,Peshawar,Rejected
Aliya,19,Male,79.0,91.85,Islamabad,Rejected
Asad,20,Female,51.0,77.545,Peshawar,Rejected
Shafiq,17,Male,78.0,82.49,Quetta,Rejected
Maaz,20,Male,58.0,96.83,Peshawar,Accepted
Ali,20,Male,71.0,80.91,Lahore,Rejected
Shahzad,24,Female,74.0,74.13,Multan,Rejected
Hafsa,20,Male,55.0,97.46,Quetta,Rejected
Asad,20,Female,82.0,67.42,Lahore,Accepted
Asad,21,Male,79.0,97.21,Karachi,Rejected
Qasim,23,Female,83.0,66.51,Quetta,Accepted
Shehroz,19,Male,79.0,56.43,Rawalpindi,Rejected
Feroze,23,Female,51.0,92.36,Rawalpindi,Accepted
Laiba,21,Female,76.0,77.545,Karachi,Rejected
Sana,22,Female,91.0,84.08,Quetta,Rejected
Zarina,19,Female,81.0,71.72,Quetta,Rejected
Sana,21,Female,53.0,77.545,Rawalpindi,Rejected
Shehroz,23,Female,93.0,98.71,Karachi,Accepted
Nimra,17,Female,68.0,61.66,Quetta,Rejected
Hammad,24,Female,71.0,83.84,Lahore,Accepted
Shehroz,24,Female,50.0,87.0,Peshawar,Accepted
Shehroz,21,Female,86.0,95.38,Quetta,Accepted
Nashit,20,Male,89.0,84.64,Lahore,Accepted
Asad,20,Female,95.0,52.4,Rawalpindi,Rejected
Ali,19,Female,85.0,78.09,Quetta,Accepted
Bilal,17,Female,81.0,84.4,Islamabad,Rejected
Fatima,21,Female,98.0,50.86,Multan,Accepted
Shoaib,20,Male,91.0,80.12,Quetta,Accepted
Maaz,17,Male,88.0,86.85,Lahore,Accepted
